lapp_id,woe_end_use,woe_job_type,cibil_loan_closed_unsecured_count_outlier_ob_woe,cibil_loan_closed_unsecured_disbursed_amt_sum_outlier_ob_woe,cibil_loan_active_personal_loan_tenure_avg_outlier_ob_woe,total_outflow_outlier_ob_woe,woe_educational_qualification,cibil_score_outlier_ob_woe,cibil_loan_active_count_outlier_ob_woe,cibil_loan_closed_credit_card_count_outlier_ob_woe,cibil_loan_closed_consumer_loan_count_outlier_ob_woe,cibil_enquiry_na_disbursed_amt_avg_outlier_ob_woe,cibil_loan_active_disbursed_amt_sum_outlier_ob_woe,avg_3m_ncf_outlier_ob_woe,woe_preferred_agreement_method,cibil_loan_active_instalment_amount_sum_outlier_ob_woe,cibil_loan_closed_consumer_loan_disbursed_amt_avg_outlier_ob_woe,woe_employment_year,total_3m_ncf_outlier_ob_woe,cibil_loan_active_tenure_avg_outlier_ob_woe,crif_loans_to_enquiries_outlier_ob_woe,cibil_loan_active_overdue_amt_sum_outlier_ob_woe,cibil_loan_closed_personal_loan_tenure_avg_outlier_ob_woe,woe_home_stay_duration,no_of_dependents_outlier_ob_woe,avg_3m_other_debit_sum_outlier_ob_woe,age_outlier_ob_woe,cibil_loan_closed_secured_tenure_avg_outlier_ob_woe,shift_1m_upi_credit_sum_outlier_ob_woe,non_financial_credit_score_outlier_ob_woe,crif_loan_closed_instalment_amount_sum_outlier_ob_woe,total_3m_upi_credit_sum_outlier_ob_woe,avg_3m_emi_debit_sum_outlier_ob_woe,cibil_loans_to_enquiries_outlier_ob_woe,total_3m_emi_debit_sum_outlier_ob_woe,employment_duration_outlier_ob_woe,cibil_loan_active_current_bal_sum_outlier_ob_woe,avg_3m_closing_balance_outlier_ob_woe,cibil_loan_active_disbursed_amt_avg_outlier_ob_woe,woe_kyc_method,trend_m2_m3_salary_credit_count_outlier_ob_woe,crif_score_outlier_ob_woe,crif_loan_active_count_outlier_ob_woe,avg_balance_m2_outlier_ob_woe,trend_m2_m3_upi_debit_sum_outlier_ob_woe,income_to_age_ratio_outlier_ob_woe,total_3m_bounce_debit_count_outlier_ob_woe,trend_m1_m2_closing_balance_outlier_ob_woe,shift_1m_other_debit_sum_outlier_ob_woe,avg_3m_credit_count_outlier_ob_woe,trend_m1_m2_pos_expense_debit_count_outlier_ob_woe,crif_loan_active_current_bal_sum_outlier_ob_woe
APP1676874413869231,16.6266379,20,20,20,16.00320023,20,15.86364706,19.86644689,17.28213613,20,14.02923551,11.33866038,20,20,5,5,20,20,20,18.63003355,17.24945534,5,17.71355162,7.833917878,5,5,5,20,15.70636525,5,20,5,6.068468637,18.11592958,6.049953781,14.07745166,19.30591987,20,20,5,20,20,20,5,5,5,20,5,20,5.423861422,5,20
APP1679144315042919,13.98805257,20,18.24261188,20,18.06472886,17.3451397,15.86364706,20,20,20,14.02923551,11.68392685,20,11.1477103,5,20,17.98962557,20,10.3330662,20,18.86246405,5,18.80543055,17.86157543,5,20,18.53736925,5,15.77830219,5,20,5,5,19.68110896,5,12.98900889,19.30591987,20,20,5,20,20,20,5,20,5,20,20,20,5.423861422,20,20
APP1685078797516078,13.98805257,20,18.24261188,17.96778858,5,17.4221114,15.86364706,20,13.16796517,5,20,11.68392685,19.19065418,12.56360721,20,5,17.98962557,17.81013554,12.16876606,18.63003355,5,5,5,20,20,10.11439076,18.53736925,5,15.77830219,10.23326703,5,20,6.068468637,19.68110896,6.049953781,5,20,5,20,18.57076852,20,5,5,5,20,5,20,5,20,5.423861422,20,5
APP1678823904460858,13.98805257,20,20,20,20,5,15.86364706,20,18.5471797,19.83920695,20,11.68392685,20,20,5,5,19.29948526,20,20,18.63003355,17.24945534,5,20,5,5,5,18.53736925,5,20,5,20,20,6.068468637,19.68110896,6.049953781,14.07745166,19.30591987,5,20,5,20,20,20,5,5,5,20,5,19.52906061,5.423861422,5,20
APP1691850977876653,15.34263777,20,20,20,5,20,5,19.86644689,20,19.83920695,20,11.68392685,20,20,20,5,19.29948526,20,20,17.0499561,5,5,5,5,5,5,18.53736925,5,15.70636525,13.18769443,5,20,12.95809766,19.68110896,12.91882292,14.07745166,19.30591987,17.36898549,20,18.57076852,20,5,5,5,20,5,20,20,5,5.423861422,20,5
APP1679500037337447,13.98805257,20,18.24261188,15.89752543,17.42630819,20,20,20,19.52015528,20,20,11.33866038,20,20,5,20,17.98962557,20,20,16.8864047,17.24945534,5,17.71355162,5,5,20,18.53736925,5,15.77830219,5,5,20,20,19.68110896,20,14.07745166,19.30591987,20,20,5,20,20,20,20,5,20,20,20,14.46261847,20,5,20
APP1685677488004054,13.98805257,20,20,20,18.06472886,20,20,20,20,20,20,5,20,20,20,20,20,17.3372325,20,16.8864047,5,5,20,5,5,6.748739968,20,20,15.77830219,16.68994094,5,20,20,19.68110896,20,5,19.30591987,20,20,18.57076852,20,5,5,20,5,20,20,5,5,20,20,5
APP1692020501685671,12.51559002,20,18.24261188,15.89752543,16.00320023,5,15.86364706,19.86644689,18.5471797,5,20,11.68392685,19.19065418,20,20,5,17.98962557,20,20,18.63003355,5,5,18.80543055,5,14.24464052,20,20,5,20,13.18769443,5,20,6.068468637,19.68110896,6.049953781,14.07745166,20,17.36898549,19.3821797,18.57076852,20,5,5,5,20,5,20,5,20,5.423861422,20,5
APP1686919864617926,15.34263777,20,18.24261188,15.89752543,5,17.4221114,15.86364706,20,17.28213613,20,20,11.68392685,19.19065418,12.56360721,20,5,20,20,12.16876606,5,5,20,18.80543055,16.48176529,20,5,18.53736925,5,20,13.18769443,5,20,12.95809766,19.68110896,12.91882292,14.07745166,15.8713736,20,20,5,20,5,5,5,5,5,20,5,5,5.423861422,20,5
APP1693749604667036,16.6266379,20,18.24261188,15.89752543,17.42630819,20,20,20,18.5471797,5,20,11.33866038,20,20,20,5,20,20,20,20,5,5,18.80543055,5,14.24464052,6.748739968,18.53736925,5,20,5,5,19.00735252,20,20,20,12.98900889,19.30591987,20,20,18.57076852,20,5,5,5,5,20,20,20,14.46261847,5.423861422,5,5
